ID,e_city_id,s_city_id,NOMBORIGEN,EMP07_1,EMP07_2,EMP07_3,EMP07_4,EMP07_5,EMP07_6,EMP07_7,EMP07_8,EMP07_9,EMP07_10,TOTAL_PERSONAS,s_lon,s_lat,e_lon,e_lat,Region_origen,Region_destino,Flujo_Migratorio
136315,170101,40101,40101. Dpto. Arequipa   Prov. Arequipa   Dist. Arequipa,1,39,24,16,35,1,18,31,35,18,218,-71.53845959,-16.40665825,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136323,170101,80106,80106. Dpto. Cusco   Prov. Cusco   Dist. Santiago,-,21,9,11,47,6,22,32,34,12,194,-71.97854374,-13.57304538,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136328,170101,30101,30101. Dpto. Apurimac   Prov. Abancay   Dist. Abancay,-,4,7,4,21,6,14,15,28,8,107,-72.87161162,-13.63584151,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136358,170101,80104,80104. Dpto. Cusco   Prov. Cusco   Dist. San JerÃ³nimo,-,3,5,2,9,2,7,16,9,2,55,-71.86742424,-13.55741089,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136368,170102,80106,80106. Dpto. Cusco   Prov. Cusco   Dist. Santiago,-,1,3,2,11,-,2,10,19,6,54,-71.97854374,-13.57304538,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136381,170102,81210,81210. Dpto. Cusco   Prov. Quispicanchi   Dist. Ocongate,-,-,-,-,11,4,1,2,13,-,31,-71.26896133,-13.68767485,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136405,170102,80601,80601. Dpto. Cusco   Prov. Canchis   Dist. Sicuani,-,7,-,2,11,9,3,19,34,3,88,-71.10360857,-14.25101723,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136407,170102,80104,80104. Dpto. Cusco   Prov. Cusco   Dist. San JerÃ³nimo,-,-,5,-,4,1,2,7,10,1,30,-71.86742424,-13.55741089,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136419,170102,81201,81201. Dpto. Cusco   Prov. Quispicanchi   Dist. Urcos,-,2,1,-,3,4,6,11,12,2,41,-71.59913886,-13.68787434,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136433,170102,40101,40101. Dpto. Arequipa   Prov. Arequipa   Dist. Arequipa,-,4,1,1,7,-,4,6,8,1,32,-71.53845959,-16.40665825,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136448,170102,211101,211101. Dpto. Puno   Prov. San Roman   Dist. Juliaca,-,-,4,1,16,5,5,16,21,-,68,-70.21552891,-15.45987404,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136640,170102,80101,80101. Dpto. Cusco   Prov. Cusco   Dist. Cusco,-,9,9,5,27,7,8,36,38,2,141,-71.9876066,-13.49254085,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136665,170102,80105,80105. Dpto. Cusco   Prov. Cusco   Dist. San Sebastian,-,-,6,2,10,-,6,17,18,3,62,-71.92574638,-13.53325367,-69.93884485,-12.97674433,SIERRA,SELVA,SIERRA-SELVA
136913,170104,80101,80101. Dpto. Cusco   Prov. Cusco   Dist. Cusco,1,4,-,-,12,2,8,5,19,4,55,-71.9876066,-13.49254085,-69.92336061,-12.51332858,SIERRA,SELVA,SIERRA-SELVA
136985,170201,80101,80101. Dpto. Cusco   Prov. Cusco   Dist. Cusco,-,7,2,-,2,5,2,2,11,2,33,-71.9876066,-13.49254085,-71.51836448,-12.36200554,SIERRA,SELVA,SIERRA-SELVA
137107,170203,80104,80104. Dpto. Cusco   Prov. Cusco   Dist. San JerÃ³nimo,-,1,1,1,10,1,5,2,21,-,42,-71.86742424,-13.55741089,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137133,170203,30101,30101. Dpto. Apurimac   Prov. Abancay   Dist. Abancay,-,-,2,1,15,2,13,3,24,1,61,-72.87161162,-13.63584151,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137194,170203,81201,81201. Dpto. Cusco   Prov. Quispicanchi   Dist. Urcos,-,-,-,-,11,1,4,3,32,1,52,-71.59913886,-13.68787434,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137212,170203,80601,80601. Dpto. Cusco   Prov. Canchis   Dist. Sicuani,-,4,4,-,22,-,12,12,39,4,97,-71.10360857,-14.25101723,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137214,170203,80106,80106. Dpto. Cusco   Prov. Cusco   Dist. Santiago,-,1,1,2,24,-,11,5,58,6,108,-71.97854374,-13.57304538,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137221,170203,80105,80105. Dpto. Cusco   Prov. Cusco   Dist. San Sebastian,-,-,3,2,22,-,10,12,37,1,87,-71.92574638,-13.53325367,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137258,170203,80401,80401. Dpto. Cusco   Prov. Calca   Dist. Calca,-,-,2,2,27,-,6,3,35,2,77,-71.95777705,-13.26872231,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137292,170203,40101,40101. Dpto. Arequipa   Prov. Arequipa   Dist. Arequipa,-,1,3,1,5,-,10,6,16,4,46,-71.53845959,-16.40665825,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137293,170203,210101,210101. Dpto. Puno   Prov. Puno   Dist. Puno,-,1,3,-,17,1,6,6,11,2,47,-70.06367703,-15.9050032,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137330,170203,211101,211101. Dpto. Puno   Prov. San Roman   Dist. Juliaca,1,4,11,1,29,1,8,9,28,2,94,-70.21552891,-15.45987404,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137337,170203,80101,80101. Dpto. Cusco   Prov. Cusco   Dist. Cusco,-,4,13,4,56,3,36,16,68,8,208,-71.9876066,-13.49254085,-70.67537252,-12.6295435,SIERRA,SELVA,SIERRA-SELVA
137359,170204,80101,80101. Dpto. Cusco   Prov. Cusco   Dist. Cusco,-,8,3,3,35,3,20,14,36,8,130,-71.9876066,-13.49254085,-70.65207806,-13.00314984,SIERRA,SELVA,SIERRA-SELVA
137383,170204,40101,40101. Dpto. Arequipa   Prov. Arequipa   Dist. Arequipa,-,5,1,2,8,1,4,6,7,6,40,-71.53845959,-16.40665825,-70.65207806,-13.00314984,SIERRA,SELVA,SIERRA-SELVA
137387,170204,211202,211202. Dpto. Puno   Prov. Sandia   Dist. Cuyocuyo,-,1,-,-,3,1,1,6,12,6,30,-69.55766801,-14.52381412,-70.65207806,-13.00314984,SIERRA,SELVA,SIERRA-SELVA
137434,170204,80106,80106. Dpto. Cusco   Prov. Cusco   Dist. Santiago,-,2,3,1,6,-,4,3,16,3,38,-71.97854374,-13.57304538,-70.65207806,-13.00314984,SIERRA,SELVA,SIERRA-SELVA
137482,170204,211101,211101. Dpto. Puno   Prov. San Roman   Dist. Juliaca,-,1,7,-,12,-,12,7,16,10,65,-70.21552891,-15.45987404,-70.65207806,-13.00314984,SIERRA,SELVA,SIERRA-SELVA
137541,170204,80601,80601. Dpto. Cusco   Prov. Canchis   Dist. Sicuani,-,12,2,1,21,2,21,22,59,13,153,-71.10360857,-14.25101723,-70.65207806,-13.00314984,SIERRA,SELVA,SIERRA-SELVA
137549,170204,80105,80105. Dpto. Cusco   Prov. Cusco   Dist. San Sebastian,-,-,5,2,9,-,7,6,11,2,42,-71.92574638,-13.53325367,-70.65207806,-13.00314984,SIERRA,SELVA,SIERRA-SELVA
137785,170302,80101,80101. Dpto. Cusco   Prov. Cusco   Dist. Cusco,1,4,6,1,8,1,1,21,20,5,68,-71.9876066,-13.49254085,-69.67927263,-11.43509374,SIERRA,SELVA,SIERRA-SELVA
141663,190301,190101,190101. Dpto. Pasco   Prov. Pasco   Dist. Chaupimarca,-,13,2,5,2,7,-,1,4,-,34,-76.24658873,-10.70116949,-75.37082171,-10.65041891,SIERRA,SELVA,SIERRA-SELVA
141667,190301,120701,120701. Dpto. Junin   Prov. Tarma   Dist. Tarma,-,4,5,1,6,1,4,2,8,-,31,-75.75876931,-11.45555677,-75.37082171,-10.65041891,SIERRA,SELVA,SIERRA-SELVA
141731,190301,190302,190302. Dpto. Pasco   Prov. Oxapampa   Dist. Chontabamba,-,3,2,1,2,9,4,2,16,-,39,-75.50633907,-10.62331988,-75.37082171,-10.65041891,SIERRA,SELVA,SIERRA-SELVA
141772,190301,120101,120101. Dpto. Junin   Prov. Huancayo   Dist. Huancayo,-,15,5,1,5,1,5,3,4,3,42,-75.07127978,-11.99332312,-75.37082171,-10.65041891,SIERRA,SELVA,SIERRA-SELVA
142116,190305,100801,100801. Dpto. Huanuco   Prov. Pachitea   Dist. Panao,-,1,-,-,1,29,-,-,34,2,67,-75.89673527,-10.14836804,-75.5862738,-10.13272834,SIERRA,SELVA,SIERRA-SELVA
142184,190306,120101,120101. Dpto. Junin   Prov. Huancayo   Dist. Huancayo,-,10,1,2,5,6,3,1,6,5,39,-75.07127978,-11.99332312,-74.63673592,-10.41402338,SIERRA,SELVA,SIERRA-SELVA
142218,190306,190101,190101. Dpto. Pasco   Prov. Pasco   Dist. Chaupimarca,-,27,1,-,-,5,-,-,2,1,36,-76.24658873,-10.70116949,-74.63673592,-10.41402338,SIERRA,SELVA,SIERRA-SELVA
142245,190306,100101,100101. Dpto. Huanuco   Prov. Huanuco   Dist. Huanuco,-,4,1,5,5,4,2,3,6,1,31,-76.29667215,-9.89658248,-74.63673592,-10.41402338,SIERRA,SELVA,SIERRA-SELVA
142412,190307,30201,30201. Dpto. Apurimac   Prov. Andahuaylas   Dist. Andahuaylas,-,-,-,-,3,3,-,3,31,-,40,-73.38797193,-13.76821692,-75.1759208,-10.63411257,SIERRA,SELVA,SIERRA-SELVA
142533,190307,120101,120101. Dpto. Junin   Prov. Huancayo   Dist. Huancayo,1,6,1,2,11,3,1,3,13,2,43,-75.07127978,-11.99332312,-75.1759208,-10.63411257,SIERRA,SELVA,SIERRA-SELVA
149772,210309,211101,211101. Dpto. Puno   Prov. San Roman   Dist. Juliaca,-,10,3,1,9,11,2,33,36,1,106,-70.21552891,-15.45987404,-70.39487063,-13.52405164,SIERRA,SELVA,SIERRA-SELVA
152958,211209,211201,211201. Dpto. Puno   Prov. Sandia   Dist. Sandia,-,14,4,-,5,49,8,2,79,2,163,-69.43696046,-14.29193128,-69.33441866,-14.03197955,SIERRA,SELVA,SIERRA-SELVA
152981,211209,211204,211204. Dpto. Puno   Prov. Sandia   Dist. Patambuco,-,-,-,-,1,25,1,1,14,-,42,-69.6312351,-14.31010689,-69.33441866,-14.03197955,SIERRA,SELVA,SIERRA-SELVA
153002,211209,211101,211101. Dpto. Puno   Prov. San Roman   Dist. Juliaca,-,16,6,1,1,11,3,4,18,-,60,-70.21552891,-15.45987404,-69.33441866,-14.03197955,SIERRA,SELVA,SIERRA-SELVA
153027,211210,210904,210904. Dpto. Puno   Prov. Moho   Dist. Tilali,-,-,-,1,3,20,-,-,30,-,54,-69.34207743,-15.49167843,-69.14799036,-13.54863521,SIERRA,SELVA,SIERRA-SELVA
153040,211210,210601,210601. Dpto. Puno   Prov. Huancane   Dist. Huancane,-,2,-,1,-,17,-,-,14,-,34,-69.80902012,-15.18320788,-69.14799036,-13.54863521,SIERRA,SELVA,SIERRA-SELVA
153055,211210,210901,210901. Dpto. Puno   Prov. Moho   Dist. Moho,-,-,-,-,-,27,-,-,22,-,49,-69.44760794,-15.35080169,-69.14799036,-13.54863521,SIERRA,SELVA,SIERRA-SELVA
153084,211210,210101,210101. Dpto. Puno   Prov. Puno   Dist. Puno,-,14,-,-,1,11,-,-,6,2,34,-70.06367703,-15.9050032,-69.14799036,-13.54863521,SIERRA,SELVA,SIERRA-SELVA
153112,211210,211101,211101. Dpto. Puno   Prov. San Roman   Dist. Juliaca,-,15,2,3,5,34,5,6,29,1,100,-70.21552891,-15.45987404,-69.14799036,-13.54863521,SIERRA,SELVA,SIERRA-SELVA
153117,211210,210902,210902. Dpto. Puno   Prov. Moho   Dist. Conima,-,-,-,1,1,14,-,-,16,-,32,-69.41204351,-15.44930463,-69.14799036,-13.54863521,SIERRA,SELVA,SIERRA-SELVA
153348,220101,60401,60401. Dpto. Cajamarca   Prov. Chota   Dist. Chota,-,4,5,1,3,13,5,-,21,1,53,-78.64262591,-6.56002952,-77.17000495,-5.76828169,SIERRA,SELVA,SIERRA-SELVA
